#,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,,,Categories
208,Jessica Watson Miller,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Jessica Watson Miller, from Sydney now in the Bay Area, to start a non-profit to improve the treatment of mental illness.",Non profit,,,,,,,,
209,Avi Schiffmann,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Avi Schiffman, Harvard University. a second award to Avi, for his Ukraine Take Shelter project.",Non profit,,,,,,,,
210,Carol Vieria de Magalhaes,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Carol Vieria de Magelhaes, Brazil and Northwestern University, to support a visiting research internship at Harvard Medical School.",Career development,,,,,,,,
211,BioDojo House,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"BioDojo House, “A 3 month long co-living community in the Boston/Cambridge area from June-Aug, hosting 6-10 next generation builders & young emerging scientists between 18-25 years old.”",Non profit,,,,,,,,
212,Serene Han,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Serene Han, a free speech project, to expand Tor/Snowflake for Russian and other access to the uncensored internet.",Non profit,,,,,,,,
213,Hector Alberto Diaz Gomez,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Hector Alberto Diaz Gomez, Peru, Amazonas, general career development and travel, and for research into multilingual search engines.",Research,,,,,,,,
214,Louise Perry and Fiona Macenzie,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Louise Perry and Fiona Mackenzie, London area, The Other Half, “a feminist think tank with a post-liberal agenda.”",Non profit,,,,,,,,
215,Bridget Pegg,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Bridget Pegg, St. Louis and Mizzou, for general career development, and intellectual and policy outreach for Missouri and the broader Midwest.",Career development,,,,,,,,
216,Marius Hobbhahn,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Marius Hobbhahn, Tübingen, AI safety and for writings on many other topics as well.",Writing (Online),,,,,,,,
217,Zeel Patel,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Zeel Patel, Harvard and Broad Institute of MIT, applying machine learning to health care through AI.",Research,,,,,,,,
218,Dwarkesh Patel,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Dwarkesh Patel, Austin, podcasting and general career support.",Podcast,,,,,,,,
219,Tim Farrelly,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Tim Farrelly, Dublin, working on AI and vision issues and for general career development and conference travel.",Career development,,,,,,,,
220,Yang Zheng,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Yang Zheng, North Hollywood, a project to crowdsource AI problems.",Non profit,,,,,,,,
221,Ben Smith,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Ben Smith, University of Oregon, from New Zealand. For his project on “multi-objective reinforcement learning with an exponential-log function.”",Research,,,,,,,,
222,Paulina M Paiz,19,2022-04-25,https://marginalrevolution.com/marginalrevolution/2022/04/emergent-ventures-winners-19th-cohort.html,"Paulina M Paiz, San Francisco/Toronto, travel grant to attend scientific conferences, and to continue with her work using DeepChem.",Research,,,,,,,,
